"Country","Life.expectancy","BMI","under.five.deaths","HIV.AIDS","GDP","Population"
"Afghanistan",59.9,18.6,86,0.1,612.696514,327582
"Albania",77.5,57.2,1,0.1,4575.763787,288914
"Algeria",75.4,58.4,24,0.1,547.8517,39113313
"Angola",51.7,22.7,101,2,479.31224,2692466
"Argentina",76.2,62.2,9,0.1,12245.25645,42981515
"Armenia",74.6,54.1,1,0.1,3994.712355,29622
"Australia",82.7,66.1,1,0.1,62214.6912,2346694
"Austria",81.4,57.1,0,0.1,51322.63997,8541575
"Azerbaijan",72.5,51.5,6,0.1,7891.299776,953579
"Bangladesh",71.4,17.7,121,0.1,184.56543,15945279
"Belarus",72,61.7,0,0.1,8318.429294,9474511
"Belgium",89,63.4,1,0.1,47439.39684,112957
"Belize",70,5.1,0,0.2,4852.223666,351694
"Benin",59.7,25.2,39,1.1,943.686575,1286712
"Bhutan",69.4,23.6,1,0.5,2522.7968,776448
"Bosnia and Herzegovina",77.2,55.3,0,0.1,5193.94932,35662
"Botswana",65.1,37.3,2,2.3,7497.762376,2168573
"Brazil",74.8,55.3,49,0.1,1226.61731,24213133
"Bulgaria",74.3,65.1,1,0.1,7853.335191,7223938
"Burkina Faso",59.3,18.8,63,0.6,75.1464113,17585977
"Burundi",59.1,18.2,32,0.7,312.7489794,989179
"Cabo Verde",73,3.5,0,0.2,3529.61843,526437
"Cambodia",68.3,18.9,12,0.2,198.687123,152779
"Cameroon",56.7,28.4,71,3.7,1441.1417,2223994
"Canada",82,66.4,2,0.1,544.43376,35544564
"Central African Republic",58,22.1,22,4.5,377.132274,4515392
"Chad",52.6,18.7,78,2.9,125.998515,13569438
"Chile",83,63.1,2,0.1,14817.37778,17613798
"China",75.8,31.9,198,0.1,7683.5238,136427
"Colombia",74.6,57.2,12,0.1,7913.383432,47791911
"Comoros",63.2,23.7,2,0.8,852.954379,759385
"Costa Rica",79.5,59.5,1,0.1,1647.44179,4757575
"Croatia",77.8,63.1,0,0.1,13467.46827,4238389
"Cyprus",83,59.8,0,0.1,2734.88382,115239
"Denmark",84,58.4,0,0.1,62425.5392,5643475
"Djibouti",63,34.4,1,2.1,174.91511,912164
"Dominican Republic",73.6,57.9,7,0.3,6268.692122,145844
"Ecuador",76,53.5,7,0.1,6432.216537,1593112
"El Salvador",73.3,55.4,2,0.2,3988.771871,6281189
"Equatorial Guinea",57.9,24,4,4.4,192.59733,1129424
"Estonia",77.3,59.4,0,0.1,19941.45532,1314545
"Ethiopia",64.2,17.2,202,0.6,571.1622759,97366774
"Fiji",69.7,61.9,0,0.1,546.3728,88586
"Finland",89,61.7,0,0.1,49914.61864,5461512
"France",82.2,62,3,0.1,42955.24287,66331957
"Gabon",65.5,35.8,3,2.8,9692.163874,1875713
"Georgia",74.5,55.3,1,0.1,4429.6575,3727
"Germany",89,61.9,3,0.1,4792.65288,89825
"Ghana",62.1,28,54,0.8,1432.227943,26962563
"Greece",88,66,0,0.1,21673.7817,1892413
"Guatemala",71.7,49.9,13,0.4,3687.763767,15923559
"Guinea",58.1,22.7,41,0.5,561.997387,118559
"Guinea-Bissau",58.4,25.6,6,3.4,642.6256154,1725744
"Guyana",66,45.9,1,0.3,43.82321,763393
"Haiti",63.1,48.8,19,0.5,83.1148117,1572466
"Honduras",74.5,5.2,4,0.3,2242.711912,889216
"Hungary",75.6,64.2,0,0.1,14117.97668,9866468
"Iceland",82.5,6.6,0,0.1,52473.11356,327386
"India",68,18.1,1200,0.2,1573.11889,1293859294
"Indonesia",68.9,26.5,142,0.3,3491.595887,255131116
"Iraq",67.9,58.5,39,0.1,673.74737,3568
"Ireland",81.2,62.1,0,0.1,5553.32623,4617225
"Israel",82.2,64.6,1,0.1,37582.84624,82157
"Italy",82.5,63.1,2,0.1,35396.66517,678914
"Jamaica",75.8,53.5,1,0.5,4855.743789,286287
"Japan",83.5,28.6,3,0.1,3896.21151,127276
"Jordan",74,64.8,4,0.1,466.94775,88936
"Kazakhstan",69.9,52.3,5,0.1,1286.56511,17289224
"Kenya",62.9,21.3,79,2.9,1335.6458,462425
"Kiribati",66.1,77.1,0,0.1,1684.54274,11458
"Latvia",74.4,6.7,0,0.1,15725.1374,1993782
"Lebanon",74.8,65.4,1,0.1,8161.4614,563279
"Lesotho",52.1,32,6,9.4,1174.839214,2145785
"Liberia",58.1,26.7,11,0.9,458.4651734,439737
"Lithuania",73.4,61.9,0,0.1,16554.97139,2932367
"Luxembourg",81.7,6.9,0,0.1,119172.7418,556319
"Madagascar",65.1,2,39,0.3,452.4631926,2358981
"Malawi",57.6,19.2,40,5.1,354.7253961,1768838
"Malaysia",74.8,39.5,4,0.1,11183.96191,322817
"Maldives",78.2,26.2,0,0.1,7716.2415,41
"Mali",57.8,23.2,85,1.6,825.5729915,16962846
"Malta",81.4,69.2,0,0.1,2618.92599,427364
"Mauritania",63,3.1,12,0.9,1326.66882,46392
"Mauritius",74.2,32.8,0,0.1,1153.93822,126934
"Mexico",76.6,62.8,36,0.1,1452.27766,1242216
"Mongolia",68.4,51.5,1,0.1,4181.583321,2923896
"Montenegro",75.9,61.3,0,0.1,7378.345289,62181
"Morocco",74.1,57.5,21,0.1,3154.513484,3431882
"Mozambique",56.7,22.2,84,4.1,623.2871141,27212382
"Myanmar",66.4,22.9,52,0.3,1262.893782,51924182
"Namibia",65.9,34.9,3,2.2,5421.343953,237992
"Nepal",69.6,18.5,22,0.1,76.2386977,28323241
"Netherlands",81.7,61.6,1,0.1,52157.4687,168658
"Nicaragua",74.5,53.2,3,0.1,1975.46477,613997
"Niger",61.4,18.9,88,0.5,43.646498,19148219
"Nigeria",53.6,24.7,759,3.9,3221.678128,1764652
"Norway",81.6,6.8,0,0.1,975.49856,5137232
"Pakistan",66.2,24.7,442,0.1,1316.98966,185546257
"Panama",77.6,57.1,1,0.1,12593.7374,393986
"Papua New Guinea",62.7,47.9,13,0.7,2182.716565,7755785
"Paraguay",73.9,49.4,3,0.2,4712.822736,6552584
"Peru",75.3,54.9,10,0.1,6491.5245,3973354
"Philippines",68.4,24.8,68,0.1,2842.938353,112249
"Poland",77.3,61.1,2,0.1,14341.675,3811735
"Portugal",89,6.9,0,0.1,2277.53613,14162
"Romania",74.8,59.9,2,0.1,12.27733,1998979
"Russian Federation",73,59.9,15,0.1,14125.961,143819666
"Rwanda",65.7,2.8,16,0.4,76.5699517,11345357
"Samoa",73.8,74.3,0,0.1,4178.973369,19229
"Sao Tome and Principe",67.3,3.1,0,0.2,1821.878734,191266
"Senegal",66.4,23.8,27,0.3,152.443873,14546111
"Serbia",75.4,59.4,1,0.1,62.173221,713576
"Seychelles",73,36.2,0,0.1,1557.77892,91359
"Sierra Leone",48.1,23.8,32,0.6,78.4394757,779162
"Slovenia",87,59.5,0,0.1,242.67286,26198
"Solomon Islands",68.8,49.7,0,0.1,29.652622,57554
"South Africa",62,5.3,52,3.7,6479.625659,54146734.74
"Spain",82.6,66,1,0.1,296.47225,4648882
"Sri Lanka",74.7,22.7,3,0.1,382.54994,2771
"Suriname",71.4,57.7,0,0.4,9564.46383,547928
"Swaziland",58.4,31.8,3,7.3,3464.35169,129597
"Sweden",82.3,59,0,0.1,5918.19898,969611
"Switzerland",83.2,57,0,0.1,85814.58857,8188649
"Tajikistan",69.6,39.9,11,0.2,114.45919,8362745
"Thailand",74.6,32.4,10,0.1,5941.8471,68416772
"Timor-Leste",68,17,2,0.1,1153.51578,1212814
"Togo",59.7,23.7,20,1,62.1318489,7228915
"Tonga",73.3,74.8,0,0.1,4192.349758,15782
"Trinidad and Tobago",71.1,46,0,0.3,19325.24283,1354493
"Tunisia",75.1,6.2,3,0.1,4271.68172,1114398
"Turkey",75.5,65.3,19,0.1,12127.22522,773628
"Turkmenistan",66,47.7,8,0.1,7962.365824,5466241
"Uganda",61.5,18.1,97,3.2,719.172669,38833338
"Ukraine",78,6.7,5,0.2,314.658296,45271947
"Uruguay",76.8,63.4,0,0.1,16737.89827,3419546
"Uzbekistan",69.2,43.9,18,0.1,25.448414,37577
